style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio,has_face
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-signor-panciatichi-bartolomeo-1540.jpg,34.9,65.1,original-aesthetic,12,0.0641,0.6107,0.4454,0.1253,0.8652,0.7954,0.0836,0.6899,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-972154198-705703.jpg,24.5,75.5,original-aesthetic,9,0.3141,0.4725,0.4694,0.1946,0.7242,0.537,0.132,0.4013,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_crucifixion-1526.jpg,9.0,91.0,original-aesthetic,14,0.2403,0.5396,0.5274,0.1886,0.8415,0.6377,0.1295,0.5344,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-976824571-398893.jpg,17.7,82.3,original-aesthetic,20,0.0789,0.4906,0.5108,0.2214,0.737,0.4929,0.159,0.6322,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_countryside-of-wood-with-saint-george-fighting-the-dragon-1510.jpg,41.0,59.0,original-aesthetic,24,0.4887,0.4602,0.5351,0.1828,0.8841,0.7423,0.2834,0.0274,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_a-scene-of-exodus-with-women-and-children-resting.jpg,7.4,92.6,original-aesthetic,35,0.1075,0.4058,0.6176,0.0875,0.8532,0.6728,0.2594,0.4195,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-982328043-946303.jpg,31.1,68.9,original-aesthetic,12,0.2948,0.4759,0.5488,0.185,0.7355,0.5138,0.1383,0.3117,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_adoration-of-the-cross-with-the-brazen-serpent.jpg,29.2,70.8,original-aesthetic,19,0.5469,0.5185,0.3115,0.1497,0.8224,0.6468,0.1892,0.3178,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_eleonora-da-toledo-1543.jpg,17.5,82.5,original-aesthetic,9,0.558,0.5697,0.4433,0.1467,0.9004,0.8193,0.0738,0.4332,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-a-lady-in-green.jpg,22.2,77.8,original-aesthetic,11,0.1646,0.4548,0.5653,0.1582,0.8631,0.737,0.0605,0.6987,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_the-wedding-at-cana-0.jpg,20.9,79.1,original-aesthetic,5,0.6914,0.4965,0.4904,0.2264,0.9235,0.8369,0.0804,0.2274,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-955991418-639577.jpg,32.7,67.3,original-aesthetic,16,0.1035,0.5364,0.4315,0.1632,0.729,0.5479,0.0798,0.6364,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-999917593-126607.jpg,26.0,74.0,original-aesthetic,9,0.263,0.4863,0.5691,0.1814,0.6919,0.4527,0.1486,0.408,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_ugolino-martelli.jpg,24.9,75.1,original-aesthetic,6,0.0493,0.4301,0.6937,0.1005,0.8659,0.7639,0.0589,0.8892,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_lovers-1511.jpg,1.7,98.3,original-aesthetic,41,0.2577,0.4401,0.4998,0.1978,0.7129,0.4379,0.3247,0.1853,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_the-crossing-of-the-red-sea-1555.jpg,29.2,70.8,original-aesthetic,11,0.9336,0.4751,0.4452,0.1806,0.7759,0.5363,0.2351,0.0,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-994246359-178045.jpg,13.0,87.0,original-aesthetic,19,0.5551,0.5021,0.4169,0.1846,0.7502,0.5098,0.1741,0.2489,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-962143793-589263.jpg,23.3,76.7,original-aesthetic,20,0.1526,0.5497,0.5179,0.1892,0.737,0.5337,0.1311,0.5707,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-97215067-540988.jpg,5.3,94.7,original-aesthetic,11,0.3153,0.5366,0.6087,0.1423,0.6954,0.5143,0.1542,0.4047,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-994275182-300130.jpg,18.3,81.7,original-aesthetic,22,0.4495,0.5527,0.4702,0.1781,0.7471,0.515,0.1599,0.4343,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-993680806-208489.jpg,22.7,77.3,original-aesthetic,9,0.5388,0.4569,0.5931,0.1438,0.6939,0.497,0.1308,0.3666,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-a-gentleman.jpg,9.6,90.4,original-aesthetic,8,0.0984,0.7202,0.4205,0.1023,0.8418,0.7663,0.0619,0.7607,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_the-flagellation-of-christ.jpg,2.8,97.2,original-aesthetic,5,0.111,0.5369,0.5074,0.2054,0.9061,0.816,0.0691,0.8631,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_christ-on-the-cross.jpg,10.9,89.1,original-aesthetic,21,0.1173,0.3973,0.5093,0.1699,0.7982,0.591,0.1739,0.5935,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_design-of-a-portal-technology-1530.jpg,8.9,91.1,original-aesthetic,32,0.3827,0.4774,0.3452,0.1445,0.8235,0.6208,0.2561,0.3371,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-998573905-816561.jpg,20.2,79.8,original-aesthetic,7,0.5148,0.4204,0.5026,0.1857,0.7053,0.4915,0.134,0.3805,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_beautiful-mary-in-the-church-1519.jpg,2.0,98.0,original-aesthetic,17,0.3127,0.6085,0.5298,0.1487,0.7785,0.514,0.3273,0.3964,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-99137915-635700.jpg,41.9,58.1,original-aesthetic,11,0.12,0.4741,0.3848,0.1499,0.7711,0.5817,0.1619,0.6343,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_the-last-supper.jpg,40.2,59.8,original-aesthetic,18,0.4666,0.5211,0.596,0.1618,0.8508,0.6884,0.1218,0.3233,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-999917593-206998.jpg,32.1,67.9,original-aesthetic,20,0.3034,0.5934,0.4514,0.139,0.7167,0.5044,0.1693,0.3587,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-986580935-506656.jpg,37.4,62.6,original-aesthetic,13,0.5586,0.4948,0.323,0.1618,0.7375,0.5552,0.1518,0.2306,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-969946615-452627.jpg,18.2,81.8,original-aesthetic,17,0.2368,0.4661,0.5855,0.1556,0.746,0.4986,0.2032,0.3678,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-cosimo-i-de-medici.jpg,11.2,88.8,original-aesthetic,10,0.1158,0.4901,0.5043,0.2257,0.9109,0.8176,0.062,0.7646,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-982487100-222364.jpg,14.0,86.0,original-aesthetic,29,0.4981,0.5589,0.4836,0.1849,0.7138,0.4912,0.1661,0.2362,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_friedrich-der-siegreiche.jpg,2.3,97.7,original-aesthetic,9,0.1811,0.3917,0.6085,0.0824,0.8184,0.6997,0.0618,0.6346,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-996103188-712931.jpg,17.1,82.9,original-aesthetic,23,0.3153,0.4372,0.5122,0.1861,0.715,0.4799,0.1899,0.2734,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-996670302-780709.jpg,23.1,76.9,original-aesthetic,18,0.1545,0.5267,0.5468,0.1842,0.7424,0.5456,0.1683,0.4822,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-974544268-128399.jpg,17.9,82.1,original-aesthetic,26,0.2157,0.4383,0.4618,0.1659,0.7344,0.4937,0.1657,0.4434,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-stefano-iv-colonna-1546.jpg,21.3,78.7,original-aesthetic,13,0.1444,0.4472,0.5048,0.1979,0.743,0.5876,0.1121,0.5744,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-960373293-103170.jpg,30.7,69.3,original-aesthetic,21,0.1119,0.5001,0.4089,0.1829,0.7348,0.5272,0.2165,0.5839,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-994275182-800598.jpg,24.5,75.5,original-aesthetic,26,0.175,0.4592,0.4918,0.2024,0.6774,0.4573,0.1683,0.5679,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-983975036-405464.jpg,33.4,66.6,original-aesthetic,17,0.1351,0.3782,0.4197,0.0973,0.7216,0.5299,0.1911,0.669,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_florian-result-scenes-for-legend-of-st-florian-1518.jpg,5.1,94.9,original-aesthetic,16,0.3559,0.4553,0.5147,0.1949,0.839,0.6699,0.1628,0.5863,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-939983868-174694.jpg,20.5,79.5,original-aesthetic,19,0.1473,0.43,0.5469,0.154,0.6602,0.5006,0.1687,0.5003,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_lovers.jpg,3.3,96.7,original-aesthetic,15,0.4642,0.5959,0.4808,0.1635,0.8301,0.6258,0.1578,0.4523,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_battle-between-knights-and-mercenary.jpg,1.5,98.5,original-aesthetic,27,0.4035,0.4175,0.5507,0.1433,0.7636,0.4834,0.3271,0.1936,False
